ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-10-05,241.27044077567018,222.44270786873486,266.59871261570373,241.27044077567018,241.27044077567018,3.3061397450374543,3.3061397450374543,3.3061397450374543,3.3061397450374543,3.3061397450374543,3.3061397450374543,0.0,0.0,0.0,244.57658052070764
2023-10-06,241.02131505164525,221.06466708623418,268.1006233304417,241.02131505164525,241.02131505164525,3.0789103710650307,3.0789103710650307,3.0789103710650307,3.0789103710650307,3.0789103710650307,3.0789103710650307,0.0,0.0,0.0,244.10022542271028
2023-10-09,240.2739378795705,219.26774108230924,265.6890918671758,240.2739378795705,240.2739378795705,3.372621210544437,3.372621210544437,3.372621210544437,3.372621210544437,3.372621210544437,3.372621210544437,0.0,0.0,0.0,243.64655909011492
2023-10-10,240.02481215554556,224.2265465776715,269.6985869102473,240.02481215554556,240.02481215554556,6.1438727363529395,6.1438727363529395,6.1438727363529395,6.1438727363529395,6.1438727363529395,6.1438727363529395,0.0,0.0,0.0,246.1686848918985
2023-10-11,239.77568643152065,221.79195389191685,266.75928327550685,239.77568643152065,239.77568643152065,5.67973791197224,5.67973791197224,5.67973791197224,5.67973791197224,5.67973791197224,5.67973791197224,0.0,0.0,0.0,245.4554243434929
2023-10-12,239.52656070749572,220.22773823852614,265.30894560004754,239.52656070749572,239.52656070749572,3.306139745036066,3.306139745036066,3.306139745036066,3.306139745036066,3.306139745036066,3.306139745036066,0.0,0.0,0.0,242.83270045253178
2023-10-13,239.2774349834708,218.6029202660928,264.33986749358746,239.2774349834708,239.2774349834708,3.078910371094706,3.078910371094706,3.078910371094706,3.078910371094706,3.078910371094706,3.078910371094706,0.0,0.0,0.0,242.35634535456552
2023-10-16,238.5300578113961,218.9846841837033,263.34011511110924,238.5300578113961,238.5300578113961,3.3726212105559643,3.3726212105559643,3.3726212105559643,3.3726212105559643,3.3726212105559643,3.3726212105559643,0.0,0.0,0.0,241.90267902195205
2023-10-17,238.28093208737113,222.3939782017365,267.5063270945001,238.28093208737113,238.28093208737113,6.143872736357079,6.143872736357079,6.143872736357079,6.143872736357079,6.143872736357079,6.143872736357079,0.0,0.0,0.0,244.4248048237282
2023-10-18,238.0318063575043,221.8702997278016,264.7900662287487,238.0318063575043,238.0318063575043,5.679737911969163,5.679737911969163,5.679737911969163,5.679737911969163,5.679737911969163,5.679737911969163,0.0,0.0,0.0,243.71154426947348
2023-10-19,237.78268062763746,219.9600597801969,264.36862939040066,237.78268062763746,237.78268062763746,3.3061397450343724,3.3061397450343724,3.3061397450343724,3.3061397450343724,3.3061397450343724,3.3061397450343724,0.0,0.0,0.0,241.08882037267185
2023-10-20,237.5335548977706,217.2225430616578,262.8802782108617,237.5335548977706,237.5335548977706,3.0789103710942145,3.0789103710942145,3.0789103710942145,3.0789103710942145,3.0789103710942145,3.0789103710942145,0.0,0.0,0.0,240.61246526886484
2023-10-23,236.7861777081701,216.76212437932352,263.09730584783966,236.7861777081701,236.7861777081701,3.3726212105674915,3.3726212105674915,3.3726212105674915,3.3726212105674915,3.3726212105674915,3.3726212105674915,0.0,0.0,0.0,240.1587989187376
2023-10-24,236.53705197830323,219.2416273005299,266.74258440698947,236.53705197830323,236.53705197830323,6.1438727363621055,6.1438727363621055,6.1438727363621055,6.1438727363621055,6.1438727363621055,6.1438727363621055,0.0,0.0,0.0,242.68092471466534
2023-10-25,236.2879262484364,218.89905926819577,265.35775683543955,236.2879262484364,236.2879262484364,5.679737911966085,5.679737911966085,5.679737911966085,5.679737911966085,5.679737911966085,5.679737911966085,0.0,0.0,0.0,241.96766416040248
2023-10-26,236.03880051856956,216.7150904137686,261.6636840419673,236.03880051856956,236.03880051856956,3.3061397450329837,3.3061397450329837,3.3061397450329837,3.3061397450329837,3.3061397450329837,3.3061397450329837,0.0,0.0,0.0,239.34494026360255
2023-10-27,235.78967478870274,216.01295863357285,263.0257238232442,235.78967478870274,235.78967478870274,3.0789103710852834,3.0789103710852834,3.0789103710852834,3.0789103710852834,3.0789103710852834,3.0789103710852834,0.0,0.0,0.0,238.868585159788
2023-10-30,235.04229763897195,216.206165605704,263.25216439839477,235.04229763897195,235.04229763897195,3.372621210579019,3.372621210579019,3.372621210579019,3.372621210579019,3.372621210579019,3.372621210579019,0.0,0.0,0.0,238.41491884955096
2023-10-31,234.79317192239503,218.21308523501662,264.3851681632908,234.79317192239503,234.79317192239503,6.143872736366245,6.143872736366245,6.143872736366245,6.143872736366245,6.143872736366245,6.143872736366245,0.0,0.0,0.0,240.93704465876127
2023-11-01,234.5440462058181,218.9981280088568,263.6827030115233,234.5440462058181,234.5440462058181,5.679737911967173,5.679737911967173,5.679737911967173,5.679737911967173,5.679737911967173,5.679737911967173,0.0,0.0,0.0,240.22378411778527
2023-11-02,234.29492048924115,214.28784642071065,259.48672858500413,234.29492048924115,234.29492048924115,3.306139745038651,3.306139745038651,3.306139745038651,3.306139745038651,3.306139745038651,3.306139745038651,0.0,0.0,0.0,237.6010602342798
2023-11-03,234.04579477266424,215.0271056682099,259.5963772231756,234.04579477266424,234.04579477266424,3.078910371076353,3.078910371076353,3.078910371076353,3.078910371076353,3.078910371076353,3.078910371076353,0.0,0.0,0.0,237.12470514374058
2023-11-06,233.29841762293344,214.60800805529357,261.8113716488475,233.29841762293344,233.29841762293344,3.3726212105795126,3.3726212105795126,3.3726212105795126,3.3726212105795126,3.3726212105795126,3.3726212105795126,0.0,0.0,0.0,236.67103883351297
2023-11-07,233.04929190635653,216.3685436671891,260.72847644377066,233.04929190635653,233.04929190635653,6.143872736363106,6.143872736363106,6.143872736363106,6.143872736363106,6.143872736363106,6.143872736363106,0.0,0.0,0.0,239.19316464271964
2023-11-08,232.80016618977956,215.38295791996853,260.96014039448863,232.80016618977956,232.80016618977956,5.679737911964095,5.679737911964095,5.679737911964095,5.679737911964095,5.679737911964095,5.679737911964095,0.0,0.0,0.0,238.47990410174364
2023-11-09,232.55104047339879,211.20849894537417,256.0106266134321,232.55104047339879,232.55104047339879,3.3061397450299017,3.3061397450299017,3.3061397450299017,3.3061397450299017,3.3061397450299017,3.3061397450299017,0.0,0.0,0.0,235.85718021842868
2023-11-10,232.30191475701798,212.28096163880994,258.2509945947571,232.30191475701798,232.30191475701798,3.078910371067423,3.078910371067423,3.078910371067423,3.078910371067423,3.078910371067423,3.078910371067423,0.0,0.0,0.0,235.3808251280854
2023-11-13,231.55453760787557,211.46263396031796,256.7885326515151,231.55453760787557,231.55453760787557,3.3726212106020736,3.3726212106020736,3.3726212106020736,3.3726212106020736,3.3726212106020736,3.3726212106020736,0.0,0.0,0.0,234.92715881847764
2023-11-14,231.30541189149474,213.6013971248736,260.43095911553064,231.30541189149474,231.30541189149474,6.143872736359967,6.143872736359967,6.143872736359967,6.143872736359967,6.143872736359967,6.143872736359967,0.0,0.0,0.0,237.4492846278547
2023-11-15,231.05628617511394,214.2011586772638,260.8756305285231,231.05628617511394,231.05628617511394,5.679737911971191,5.679737911971191,5.679737911971191,5.679737911971191,5.679737911971191,5.679737911971191,0.0,0.0,0.0,236.73602408708513
2023-11-16,230.8071604587331,211.16557891751899,255.406007050754,230.8071604587331,230.8071604587331,3.3061397450320413,3.3061397450320413,3.3061397450320413,3.3061397450320413,3.3061397450320413,3.3061397450320413,0.0,0.0,0.0,234.11330020376516
